fecha,area_m2_vegetacion_unificada,fuente
2013-04-01,17112.557861328125,Landsat 8
2013-05-04,16211.895263671875,Landsat 8
2013-05-13,5403.962158203125,Landsat 8
2013-06-05,17112.55712890625,Landsat 8
2013-06-14,21615.86102294922,Landsat 8
2013-07-23,16211.895812988281,Landsat 8
2013-10-27,46834.36877441406,Landsat 8
2013-11-21,20715.199951171875,Landsat 8
2013-12-07,900.6600341796875,Landsat 8
2013-12-23,15311.234375,Landsat 8
2013-12-30,17112.55535888672,Landsat 8
2014-01-08,1801.3231811523438,Landsat 8
2014-01-15,20715.19891357422,Landsat 8
2014-01-24,18913.87628173828,Landsat 8
2014-01-31,25218.502685546875,Landsat 8
2014-02-09,22516.521362304688,Landsat 8
2014-02-25,20715.199951171875,Landsat 8
2014-03-04,21615.859252929688,Landsat 8
2014-03-13,23417.1826171875,Landsat 8
2014-03-29,18913.87774658203,Landsat 8
2014-06-17,18913.87451171875,Landsat 8
2014-07-03,34225.115295410156,Landsat 8
2014-07-19,26119.164428710938,Landsat 8
2014-08-04,13509.908081054688,Landsat 8
2014-09-05,31523.128662109375,Landsat 8
2014-11-08,45933.70104980469,Landsat 8
2014-11-15,30622.46435546875,Landsat 8
2014-11-24,31523.128051757812,Landsat 8
2014-12-01,27920.486389160156,Landsat 8
2014-12-17,34225.11584472656,Landsat 8
2014-12-26,22516.521545410156,Landsat 8
2015-01-02,20715.19891357422,Landsat 8
2015-01-11,18013.21661376953,Landsat 8
2015-01-27,2701.98095703125,Landsat 8
2015-02-03,18913.87713623047,Landsat 8
2015-02-12,17112.55682373047,Landsat 8
2015-02-19,17112.55841064453,Landsat 8
2015-02-28,17112.554321289062,Landsat 8
2015-03-07,15311.234802246094,Landsat 8
2015-03-16,27019.8251953125,Landsat 8
2015-03-23,23417.18280029297,Landsat 8
2015-04-01,20715.20001220703,Landsat 8
2015-04-24,46834.366760253906,Landsat 8
2015-05-03,26119.164306640625,Landsat 8
2015-06-04,21615.86151123047,Landsat 8
2015-06-20,32423.791625976562,Landsat 8
2015-06-27,32423.791625976562,Landsat 8
2015-07-06,31523.13067626953,Landsat 8
2015-08-07,22516.522033691406,Landsat 8
2015-08-23,5403.965515136719,Landsat 8
2015-08-30,27920.485961914062,Landsat 8
2015-09-08,23417.18133544922,Landsat 8
2015-09-15,0.0,Landsat 8
2015-11-27,21615.859436035156,Landsat 8
2015-12-20,22516.520080566406,Landsat 8
2015-12-29,23417.18115234375,Landsat 8
2016-01-05,25218.503295898438,Landsat 8
2016-01-14,18913.878173828125,Landsat 8
2016-01-21,19814.5380859375,Landsat 8
2016-02-06,22516.52117919922,Landsat 8
2016-02-15,24317.84344482422,Landsat 8
2016-02-22,26119.165100097656,Landsat 8
2016-03-02,31523.130798339844,Landsat 8
2016-03-25,53138.989318847656,Landsat 8
2016-04-26,9907.271728515625,Landsat 8
2016-05-05,41430.39453125,Landsat 8
2016-05-12,15311.238708496094,Landsat 8
2016-05-21,31523.1357421875,Landsat 8
2016-06-06,35125.77185058594,Landsat 8
2016-06-22,30622.468139648438,Landsat 8
2016-07-08,28821.147216796875,Landsat 8
2016-07-24,27920.486206054688,Landsat 8
2016-08-09,28821.146240234375,Landsat 8
2016-09-17,45933.70300292969,Landsat 8
2016-09-26,20715.199096679688,Landsat 8
2016-11-04,51337.66522216797,Landsat 8
2016-12-15,55840.97326660156,Landsat 8
2016-12-22,54940.31170654297,Landsat 8
2016-12-31,55840.972229003906,Landsat 8
2017-05-26,39683.37595107712,Sentinel-1 (pred. mejorado)
2017-06-07,36480.44865090683,Sentinel-1 (pred. mejorado)
